Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM
CIUDAD LINEAL,40.425493,-3.6463705,SALUD PÚBLICA,3625608,2023,Ventas,445169.8008278156,4475185.078924947
CARABANCHEL,40.367938,-3.722422,SALUD PÚBLICA,1850000,2023,Buenavista,438666.2597578765,4468846.4886135245
CIUDAD LINEAL,40.4256,-3.645866,SALUD PÚBLICA,"5563830,91",2023,Ventas,445212.6835756547,4475196.64291312
CARABANCHEL,40.36802,-3.722223,SALUD PÚBLICA,"2708296,94",2023,Buenavista,438683.2293494483,4468855.452545518
VICÁLVARO,40.4069441,-3.5531687,VIVENDA,"16872028,25",2023,El Cañaveral,453063.0610976127,4473072.499249218
VICÁLVARO,40.4067067,-3.5560424,VIVENDA,"16872142,39",2023,El Cañaveral,452819.0576577327,4473047.678119079
VICÁLVARO,40.4067044,-3.556465,VIVENDA,"17754355,19",2023,El Cañaveral,452783.19769201713,4473047.648489389
VICÁLVARO,40.405684,-3.5572887,VIVENDA,"14636864,68",2023,El Cañaveral,452712.59116502263,4472934.825577886
VICÁLVARO,40.4002565,-3.5605078,VIVENDA,"14124449,44",2023,El Cañaveral,452435.6205894397,4472334.106585593
VICÁLVARO,40.4006641,-3.5614487,VIVENDA,"14667424,88",2023,El Cañaveral,452356.0632774483,4472379.856378692
VICÁLVARO,40.4014654,-3.5614492,VIVENDA,"12769693,15",2023,El Cañaveral,452356.58575883106,4472468.799983849
VICÁLVARO,40.405514,-3.5615997,VIVENDA,16000000,2023,El Cañaveral,452346.66971867456,4472918.271026585
VICÁLVARO,40.4010441,-3.5618687,VIVENDA,"7370032,07",2023,El Cañaveral,452320.69043756695,4472422.262371344
VICÁLVARO,40.4007041,-3.5621687,VIVENDA,"8200538,78",2023,El Cañaveral,452294.99276486697,4472384.68463575
VICÁLVARO,40.4054441,-3.5638987,VIVENDA,"13671093,28",2023,El Cañaveral,452151.5425198518,4472911.754195165
VICÁLVARO,40.4048787,-3.5647897,VIVENDA,"13488491,02",2023,El Cañaveral,452075.5371531758,4472849.478135537
VILLA DE VALLECAS,40.374148,-3.63320586,VIVENDA,"12315746,31",2023,Casco Histórico de Vallecas,446245.71234047925,4469477.748303827
VILLA DE VALLECAS,40.374018,-3.635026,VIVENDA,"14484197,71",2023,Casco Histórico de Vallecas,446091.0918775547,4469464.426304319
VILLA DE VALLECAS,40.37351,-3.635163,VIVENDA,"12759386,11",2023,Casco Histórico de Vallecas,446079.05660249665,4469408.122568898
PUENTE DE VALLECAS,40.38564,-3.6636112,VIVENDA,"15123537,12",2023,Palomeras Bajas,443674.0873444716,4470772.268832367
PUENTE DE VALLECAS,40.386498,-3.6663675,VIVENDA,"11681252,1",2023,San Diego,443440.8544368684,4470869.265253049
PUENTE DE VALLECAS,40.3850508,-3.6668926,VIVENDA,"10071016,42",2023,San Diego,443395.073783741,4470708.963710796
PUENTE DE VALLECAS,40.3864054,-3.6671987,VIVENDA,"12232727,02",2023,San Diego,443370.22676071717,4470859.518760772
PUENTE DE VALLECAS,40.3851781,-3.6680348,VIVENDA,"23661389,83",2023,San Diego,443298.23145513004,4470723.825661793
VILLAVERDE,40.3545193,-3.7050987,VIVENDA,"17753277,98",2023,Ángeles,440125.15190298867,4467345.16485947
VILLAVERDE,40.34134,-3.686282,VIVENDA,14000000,2023,San Cristóbal,441711.6769172356,4465869.72271462
LATINA,40.40536,-3.7359904,VIVENDA,"2662102,68",2023,Puerta del Ángel,437548.86479552655,4473009.795042819
LATINA,40.40499,-3.7363328,VIVENDA,"6986422,85",2023,Puerta del Ángel,437519.4686666532,4472968.967211465
FUENCARRAL-EL PARDO,40.4889,-3.7305976,VIVENDA,"7172825,73",2023,Mirasierra,438083.17875313875,4482278.96107428
CARABANCHEL,40.3643405,-3.7498414,VIVENDA,"4834483,2",2023,Buenavista,436334.9422455323,4468466.543391853
TETUÁN,40.46806,-3.707386,VIVENDA,"18902144,4",2023,Valdeacederas,440031.7949033168,4479949.675875509
VICÁLVARO,40.4056661,-3.5571036,VIVENDA,32000000,2023,El Cañaveral,452728.28494309954,4472932.73968807
VILLAVERDE,40.360707,-3.691887,VIVENDA,"13526313,79",2023,Los Rosales,441252.4295297519,4468023.133169632
BARAJAS,40.478115,-3.5782742,VIVENDA,"8212551,8",2023,Casco Histórico de Barajas,450984.54490573244,4480986.078018055
BARAJAS,40.47844,-3.578488,VIVENDA,"9936679,64",2023,Casco Histórico de Barajas,450966.6592277955,4481022.271881451
TETUÁN,40.4661601,-3.707966,VIVENDA,"11962529,85",2023,Valdeacederas,439980.934068416,4479739.180090436
VILLA DE VALLECAS,40.363734,-3.6006287,VIVENDA,"15626301,5",2023,Ensanche de Vallecas,449003.4296553094,4468302.521994696
VICÁLVARO,40.40736,-3.5918692,VIVENDA,"12136666,76",2023,Casco Histórico de Vicálvaro,449779.57430821063,4473139.934112632
CARABANCHEL,40.36447,-3.7466021,VIVENDA,"6175192,61",2023,Buenavista,436610.0978982937,4468478.591478604
CHAMARTÍN,40.621,-3.6766,URBANISMO,"27411855,34",2023,,442772.0013958028,4496905.849514989
FUENCARRAL-EL PARDO,40.5051,-3.6695,"TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO","151485864,2",2023,Valverde,443274.7747724174,4484036.09693728
