Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM
CHAMARTÍN,40.4459343709523,-3.67896824636862,MANTENIMIENTO URBANO,"5584372,28",2024,El Viso,442422.0250215649,4477474.807942554
CHAMBERÍ,40.4327769,-3.7054483,URBANISMO,"5508238,54",2024,Arapiles,440164.77687010507,4476031.929022336
USERA,40.3755929,-3.7124488,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","7677044,86",2024,Zofío,439519.8372416839,4469689.3055722825
SAN BLAS-CANILLEJAS,40.4316155,-3.6042837,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","13762230,73",2024,Rosas,448744.60262189765,4475839.405080879
USERA,40.365188612795095,-3.691691070433559,EDUCACIÓN,"6390917,85",2024,San Fermín,441272.9553275712,4468520.455471442
CENTRO,40.411727,-3.70678,PROTECCIÓN Y PROMOCIÓN SOCIAL,"1270522,00",2024,Embajadores,440033.1328649278,4473696.299232211
SAN BLAS-CANILLEJAS,40.4330452,-3.6009783,INFRAESTRUCTURAS,"4052878,40",2024,Rosas,449026.0482013524,4475996.188567033
VICÁLVARO,40.39933999,-3.61715501,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"7591924,54",2024,Valdebernardo,447627.8309476109,4472264.395037454
HORTALEZA,40.46398431,-3.6325963,CULTURA,"7116308,03",2024,Canillas,446368.84664363443,4479449.151988233
VICÁLVARO,40.40618148,-3.55433462,CULTURA,"11757404,24",2024,El Cañaveral,452963.60018628073,4472988.469083241
LATINA,40.401806,-3.752611,INFRAESTRUCTURAS,"1952541,20",2024,Lucero,436135.1819187638,4472627.1787643125
LATINA,40.4011395,-3.7451803,EDUCACIÓN,"4641339,82",2024,Lucero,436765.115951597,4472547.855426472
USERA,40.371720738015945,-3.7191775029696186,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1012616,55",2024,Orcasitas,438945.13429985,4469264.123207244
