Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM,anyo_timestamp
VICÁLVARO,40.3737560334677,-3.59743010009179,MEDIO AMBIENTE,3290553.03,2021,Casco Histórico de Vicálvaro,449282.5226830808,4469413.111669573,2021-01-01
VICÁLVARO - VILLA DE VALLECAS,40.38316884,-3.59843453,URBANISMO,1500000.0,2021,Casco Histórico de Vicálvaro,449204.323211865,4470458.495368106,2021-01-01
VILLA DE VALLECAS,40.3624877,-3.5997148,PROTECCIÓN Y PROMOCIÓN SOCIAL,6523763.08,2021,Ensanche de Vallecas,449080.08730323246,4468163.658517834,2021-01-01
VILLA DE VALLECAS,40.3613089819951,-3.59388787794981,PROTECCIÓN Y PROMOCIÓN SOCIAL,4330000.0,2021,Ensanche de Vallecas,449573.9576935324,4468029.485439478,2021-01-01
BARAJAS,40.4547855,-3.6019412,CULTURA,3672230.89,2021,Alameda de Osuna,448960.8229785282,4478409.912315943,2021-01-01
VICÁLVARO,40.4021037,-3.6037268,CULTURA,8913312.52,2021,Casco Histórico de Vicálvaro,448769.45946570265,4472563.294975396,2021-01-01
VILLA DE VALLECAS,40.3632843,-3.6075912,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",10487449.05,2021,Ensanche de Vallecas,448411.9299577536,4468256.642958118,2021-01-01
HORTALEZA,40.4923517,-3.6105398,CULTURA,4800000.0,2021,Valdefuentes,448260.5778875878,4482584.778758416,2021-01-01
SAN BLAS-CANILLEJAS,40.434248,-3.612367,MEDIO AMBIENTE,2151484.88,2021,Hellín,448060.9977728648,4476136.332686365,2021-01-01
VILLA DE VALLECAS,40.3793219162204,-3.61512011181291,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,2282677.51,2021,Casco Histórico de Vallecas,447785.05673519766,4470041.210371701,2021-01-01
VILLA DE VALLECAS,40.3792892244975,-3.6150449923781514,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,6350796.06,2021,Casco Histórico de Vallecas,447791.40810962673,4470037.5372882085,2021-01-01
SAN BLAS-CANILLEJAS,40.4219366,-3.6212382,OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO,2000000.0,2021,Arcos,447298.95718343474,4474775.027111822,2021-01-01
SAN BLAS-CANILLEJAS,40.4263129,-3.6220081,PROTECCIÓN Y PROMOCIÓN SOCIAL,4050826.82,2021,Amposta,447237.064114142,4475261.253409307,2021-01-01
HORTALEZA,40.47025271,-3.62537866,URBANISMO,3370360.12,2021,Valdefuentes,446985.6870898695,4480140.586394431,2021-01-01
CIUDAD LINEAL,40.4148334439596,-3.62699334082818,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,5063513.66,2021,Pueblo Nuevo,446805.1380927676,4473990.029982943,2021-01-01
CIUDAD LINEAL,40.4152664,-3.6266822,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,1758912.6,2021,Pueblo Nuevo,446831.8766181868,4474037.900547244,2021-01-01
CIUDAD LINEAL,40.4156699,-3.62947201,URBANISMO,2000000.0,2021,Ventas,446595.5048246709,4474084.370973098,2021-01-01
MORATALAZ,40.41143,-3.63045,MEDIO AMBIENTE,4651636.6,2021,Marroquina,446509.1741170536,4473614.33669596,2021-01-01
VILLA DE VALLECAS,40.3687473,-3.6318531,MEDIO AMBIENTE,18435975.59,2021,Casco Histórico de Vallecas,446356.2696571534,4468877.457620071,2021-01-01
VILLA DE VALLECAS,40.3735042382119,-3.63316688778996,VIVIENDA,10019639.62,2021,Casco Histórico de Vallecas,446248.5092641609,4469406.268017275,2021-01-01
VILLA DE VALLECAS,40.3741489393358,-3.63320586229997,VIVIENDA,11901167.78,2021,Casco Histórico de Vallecas,446245.71289168217,4469477.852570108,2021-01-01
VILLA DE VALLECAS,40.37401850036071,-3.6350264765272,VIVIENDA,14142143.36,2021,Casco Histórico de Vallecas,446091.0518224853,4469464.482134067,2021-01-01
VILLA DE VALLECAS,40.373514133952,-3.63516345063015,VIVIENDA,10976840.87,2021,Casco Histórico de Vallecas,446079.0216420671,4469408.5817061495,2021-01-01
HORTALEZA,40.4689358,-3.6438566,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,1517259.83,2021,Canillas,445418.2070551608,4480005.670340744,2021-01-01
CIUDAD LINEAL,40.4254386,-3.6490277,SALUD PÚBLICA,2733572.16,2021,Ventas,444944.3504414784,4475180.6929567335,2021-01-01
SAN BLAS-CANILLEJAS,40.448555,-3.6491725,EDUCACIÓN,3052140.83,2021,San Pascual,444950.92473513033,4477746.698296228,2021-01-01
PUENTE DE VALLECAS - VILLA DE VALLECAS,40.37410474,-3.65135769,INFRAESTRUCTURAS,3000000.0,2021,Casco Histórico de Vallecas,444704.71611575095,4469484.136706469,2021-01-01
CIUDAD LINEAL,40.4231,-3.6524,"TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO",64418280.0,2021,Ventas,444656.3666435438,4474923.21629332,2021-01-01
PUENTE DE VALLECAS,40.382868,-3.6539887,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",1828980.22,2021,Palomeras Bajas,444488.5549819569,4470458.495163604,2021-01-01
PUENTE DE VALLECAS,40.3946244,-3.6553078,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,2749571.51,2021,Numancia,444386.2586073795,4471764.271237747,2021-01-01
PUENTE DE VALLECAS,40.3887019,-3.6555218,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,2152880.9,2021,Palomeras Bajas,444363.2229936136,4471107.014705686,2021-01-01
PUENTE DE VALLECAS,40.388702,-3.6555218,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,5812868.97,2021,Palomeras Bajas,444363.2230759054,4471107.025805571,2021-01-01
CIUDAD LINEAL,40.43289977,-3.65625348,MANTENIMIENTO URBANO,1746324.51,2021,Concepción,444337.5504150847,4476013.407903315,2021-01-01
PUENTE DE VALLECAS,40.4040032,-3.6596165,URBANISMO,3546725.4,2021,Numancia,444028.3592071529,4472808.028842717,2021-01-01
CIUDAD LINEAL,40.4401633,-3.6598874,SALUD PÚBLICA,2400000.0,2021,Guindalera,444035.347564471,4476821.954356831,2021-01-01
PUENTE DE VALLECAS,40.3856447187083,-3.66361125880682,VIVIENDA,11146871.43,2021,Palomeras Bajas,443674.0862838274,4470772.792641005,2021-01-01
FUENCARRAL-EL PARDO,40.511146696869,-3.6657594745467503,MEDIO AMBIENTE,1629233.03,2021,Valverde,443596.7694600081,4484704.888692176,2021-01-01
