Barrio,anyo,Indicador,valor_indicador
VALDEBERNARDO,2020,num_hosteleria,46.0
ALMENARA,2020,num_hosteleria,105.0
AMPOSTA,2020,num_hosteleria,49.0
CANILLEJAS,2020,num_hosteleria,151.0
EL SALVADOR,2020,num_hosteleria,48.0
EL VISO,2020,num_hosteleria,155.0
FUENTE DEL BERRO,2020,num_hosteleria,135.0
VALLEHERMOSO,2020,num_hosteleria,147.0
BUENAVISTA,2020,num_hosteleria,207.0
SAN JUAN BAUTISTA,2020,num_hosteleria,68.0
COMILLAS,2020,num_hosteleria,113.0
GOYA,2020,num_hosteleria,351.0
CASTELLANA,2020,num_hosteleria,229.0
LAS AGUILAS,2020,num_hosteleria,158.0
ENSANCHE DE VALLECAS,2020,num_hosteleria,115.0
BELLAS VISTAS,2020,num_hosteleria,154.0
PACIFICO,2020,num_hosteleria,169.0
CASTILLA,2020,num_hosteleria,83.0
SAN PASCUAL,2020,num_hosteleria,86.0
QUINTANA,2020,num_hosteleria,157.0
JUSTICIA,2020,num_hosteleria,522.0
ATOCHA,2020,num_hosteleria,13.0
HISPANOAMERICA,2020,num_hosteleria,245.0
VALDEZARZA,2020,num_hosteleria,74.0
PIOVERA,2020,num_hosteleria,55.0
GUINDALERA,2020,num_hosteleria,240.0
CHOPERA,2020,num_hosteleria,100.0
PUEBLO NUEVO,2020,num_hosteleria,277.0
ARCOS,2020,num_hosteleria,53.0
PALOMERAS BAJAS,2020,num_hosteleria,114.0
RIOS ROSAS,2020,num_hosteleria,298.0
MARROQUINA,2020,num_hosteleria,126.0
SOL,2020,num_hosteleria,496.0
CIUDAD JARDIN,2020,num_hosteleria,166.0
PALOMAS,2020,num_hosteleria,28.0
SAN ISIDRO,2020,num_hosteleria,156.0
PINAR DEL REY,2020,num_hosteleria,185.0
PALACIO,2020,num_hosteleria,612.0
CASA DE CAMPO,2020,num_hosteleria,118.0
ALAMEDA DE OSUNA,2020,num_hosteleria,57.0
ORCASUR,2020,num_hosteleria,38.0
IBIZA,2020,num_hosteleria,207.0
ZOFIO,2020,num_hosteleria,49.0
HELLIN,2020,num_hosteleria,9.0
PUERTA DEL ANGEL,2020,num_hosteleria,219.0
CIUDAD UNIVERSITARIA,2020,num_hosteleria,146.0
EL CAÑAVERAL,2020,num_hosteleria,6.0
LISTA,2020,num_hosteleria,228.0
LOS ANGELES,2020,num_hosteleria,103.0
OPAÑEL,2020,num_hosteleria,164.0
EL PLANTIO,2020,num_hosteleria,45.0
NUMANCIA,2020,num_hosteleria,182.0
VALDEACEDERAS,2020,num_hosteleria,96.0
SANTA EUGENIA,2020,num_hosteleria,61.0
ESTRELLA,2020,num_hosteleria,47.0
CASCO H.VALLECAS,2020,num_hosteleria,213.0
VINATEROS,2020,num_hosteleria,32.0
CORRALEJOS,2020,num_hosteleria,54.0
APOSTOL SANTIAGO,2020,num_hosteleria,47.0
VALDERRIVAS,2020,num_hosteleria,16.0
ACACIAS,2020,num_hosteleria,172.0
COLINA,2020,num_hosteleria,34.0
NUEVA ESPAÑA,2020,num_hosteleria,149.0
DELICIAS,2020,num_hosteleria,146.0
RECOLETOS,2020,num_hosteleria,272.0
VALVERDE,2020,num_hosteleria,312.0
EL GOLOSO,2020,num_hosteleria,95.0
PUERTA BONITA,2020,num_hosteleria,122.0
NIÑO JESUS,2020,num_hosteleria,69.0
SIMANCAS,2020,num_hosteleria,217.0
SAN FERMIN,2020,num_hosteleria,66.0
MEDIA LEGUA,2020,num_hosteleria,52.0
UNIVERSIDAD,2020,num_hosteleria,655.0
MIRASIERRA,2020,num_hosteleria,69.0
CUATRO CAMINOS,2020,num_hosteleria,346.0
IMPERIAL,2020,num_hosteleria,117.0
REJAS,2020,num_hosteleria,108.0
VALDEMARIN,2020,num_hosteleria,41.0
ARGUELLES,2020,num_hosteleria,264.0
EL PILAR,2020,num_hosteleria,241.0
EMBAJADORES,2020,num_hosteleria,532.0
CASTILLEJOS,2020,num_hosteleria,252.0
PAVONES,2021,num_hosteleria,22.0
CASCO H.BARAJAS,2021,num_hosteleria,90.0
BUTARQUE,2021,num_hosteleria,55.0
ALMENDRALES,2021,num_hosteleria,119.0
TRAFALGAR,2021,num_hosteleria,329.0
PALOS DE LA FRONTERA,2021,num_hosteleria,0.0
PALOS DE MOGUER,2021,num_hosteleria,222.0
VALDEFUENTES,2021,num_hosteleria,152.0
MOSCARDO,2021,num_hosteleria,159.0
LOS ROSALES,2021,num_hosteleria,141.0
PRADOLONGO,2021,num_hosteleria,118.0
