Barrio,anyo,anyo_timestamp,Indicador,valor_indicador
Sol,2022,2022-01-01,Inversion,7556655.0
Timón,2022,2022-01-01,Inversion,4500000.0
Trafalgar,2022,2022-01-01,Inversion,0.0
Universidad,2022,2022-01-01,Inversion,4650000.0
Valdeacederas,2022,2022-01-01,Inversion,28962553.83
Valdebernardo,2022,2022-01-01,Inversion,0.0
Valdefuentes,2022,2022-01-01,Inversion,9643629.35
Valdemarín,2022,2022-01-01,Inversion,0.0
Valderrivas,2022,2022-01-01,Inversion,0.0
Valdezarza,2022,2022-01-01,Inversion,0.0
Vallehermoso,2022,2022-01-01,Inversion,0.0
Valverde,2022,2022-01-01,Inversion,208773615.27
Ventas,2022,2022-01-01,Inversion,118743956.96
Villaverde Alto - Casco Histórico de Villaverde,2022,2022-01-01,Inversion,0.0
Vinateros,2022,2022-01-01,Inversion,0.0
Vista Alegre,2022,2022-01-01,Inversion,0.0
Zofío,2022,2022-01-01,Inversion,6430756.47
Águilas,2022,2022-01-01,Inversion,0.0
Ángeles,2022,2022-01-01,Inversion,0.0
Abrantes,2023,2023-01-01,Inversion,0.0
Acacias,2023,2023-01-01,Inversion,0.0
Adelfas,2023,2023-01-01,Inversion,13676013.36
Aeropuerto,2023,2023-01-01,Inversion,127358255.34
Alameda de Osuna,2023,2023-01-01,Inversion,6377331.37
Almagro,2023,2023-01-01,Inversion,0.0
Almenara,2023,2023-01-01,Inversion,0.0
Almendrales,2023,2023-01-01,Inversion,0.0
Aluche,2023,2023-01-01,Inversion,0.0
Amposta,2023,2023-01-01,Inversion,0.0
Apóstol Santiago,2023,2023-01-01,Inversion,0.0
Arapiles,2023,2023-01-01,Inversion,5508238.54
Aravaca,2023,2023-01-01,Inversion,1500000.0
Arcos,2023,2023-01-01,Inversion,6629084.85
Argüelles,2023,2023-01-01,Inversion,2289485.0
Atalaya,2023,2023-01-01,Inversion,0.0
Atocha,2023,2023-01-01,Inversion,0.0
Bellas Vistas,2023,2023-01-01,Inversion,0.0
Berruguete,2023,2023-01-01,Inversion,3090472.26
Buenavista,2023,2023-01-01,Inversion,39123655.39
Butarque,2023,2023-01-01,Inversion,8714861.07
Campamento,2023,2023-01-01,Inversion,0.0
Canillas,2023,2023-01-01,Inversion,6841060.42
Canillejas,2023,2023-01-01,Inversion,0.0
Casa de Campo,2023,2023-01-01,Inversion,20587588.63
Casco Histórico de Barajas,2023,2023-01-01,Inversion,26791325.36
Casco Histórico de Vallecas,2023,2023-01-01,Inversion,147366337.86
Casco Histórico de Vicálvaro,2023,2023-01-01,Inversion,0.0
Castellana,2023,2023-01-01,Inversion,0.0
Castilla,2023,2023-01-01,Inversion,4416178.04
Castillejos,2023,2023-01-01,Inversion,0.0
Chopera,2023,2023-01-01,Inversion,18581944.51
Ciudad Jardín,2023,2023-01-01,Inversion,0.0
Ciudad Universitaria,2023,2023-01-01,Inversion,0.0
Colina,2023,2023-01-01,Inversion,0.0
Comillas,2023,2023-01-01,Inversion,9169796.78
Corralejos,2023,2023-01-01,Inversion,0.0
Cortes,2023,2023-01-01,Inversion,30807829.64
Costillares,2023,2023-01-01,Inversion,0.0
Cuatro Caminos,2023,2023-01-01,Inversion,12504299.87
Cuatro Vientos,2023,2023-01-01,Inversion,0.0
Delicias,2023,2023-01-01,Inversion,0.0
El Cañaveral,2023,2023-01-01,Inversion,204408760.86
